Eredmény,Szél,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
7.74,0.0,1,1,Szeles Bálint,98,EVSI,F1,Nyíregyháza (HUN),2024.2.18
7.77,0.0,-,2,Szeles Bálint,98,EVSI,H2,Dortmund (GER),2024.1.2
7.77,0.0,-,2,Szeles Bálint,98,EVSI,F,Stockholm (SWE),2024.2.03
7.79,0.0,-,4,Szeles Bálint,98,EVSI,H2,Paris (FRA),2024.2.11
7.79,0.0,2,4,Eszes Dániel,99,VSD,F1,Nyíregyháza (HUN),2024.2.18
7.82,0.0,-,6,Szeles Bálint,98,EVSI,F,Dortmund (GER),2024.1.2
7.83,0.0,3,7,Szűcs Valdó,95,DSC-SI,F1,Budapest (HUN),2024.2.03
7.84,0.0,-,8,Szeles Bálint,98,EVSI,H2,Val-de-Reuil (FRA),2024.1.28
7.85,0.0,-,9,Eszes Dániel,99,VSD,H2,Nyíregyháza (HUN),2024.2.18
7.86,0.0,-,10,Eszes Dániel,99,VSD,F1,Budapest (HUN),2024.2.03
7.86,0.0,-,10,Szeles Bálint,98,EVSI,H5,Glasgow (GBR),2024.3.02
7.87,0.0,-,12,Eszes Dániel,99,VSD,CE1,Budapest (HUN),2024.2.11
7.88,0.0,-,13,Szűcs Valdó,95,DSC-SI,H1,Budapest (HUN),2024.2.03
7.88,0.0,-,13,Szeles Bálint,98,EVSI,H2,Nyíregyháza (HUN),2024.2.18
7.9,0.0,-,15,Eszes Dániel,99,VSD,H2,Budapest (HUN),2024.2.03
7.91,0.0,4,16,Felber Farkas,5,SVSE,F1,Nyíregyháza (HUN),2024.2.18
7.95,0.0,5,17,Auer Péter,6,A-Plast Ikarus BSE,F1,Budapest (HUN),2024.2.03
7.97,0.0,-,18,Eszes Dániel,99,VSD,H1,Tampere (FIN),2024.1.23
7.97,0.0,-,18,Felber Farkas,5,SVSE,H2,Nyíregyháza (HUN),2024.2.18
7.99,0.0,-,20,Eszes Dániel,99,VSD,F,Tampere (FIN),2024.1.23
8.05,0.0,-,21,Felber Farkas,5,SVSE,F1,Budapest (HUN),2024.2.03
8.09,0.0,6,22,Polyák Zoltán,3,A-Plast Ikarus BSE,H1,Nyíregyháza (HUN),2024.2.18
8.13,0.0,-,23,Eszes Dániel,99,VSD,H2,Dortmund (GER),2024.1.2
8.17,0.0,-,24,Auer Péter,6,A-Plast Ikarus BSE,H2,Nyíregyháza (HUN),2024.2.18
8.18,0.0,-,25,Auer Péter,6,A-Plast Ikarus BSE,H1,Budapest (HUN),2024.2.03
8.19,0.0,-,26,Polyák Zoltán,3,A-Plast Ikarus BSE,H1,Budapest (HUN),2024.1.28
8.19,0.0,-,26,Felber Farkas,5,SVSE,H1,Budapest (HUN),2024.2.03
8.22,0.0,7,28,Gálpál Zsombor,3,BHSE,F1,Budapest (HUN),2024.1.28
8.24,0.0,-,29,Polyák Zoltán,3,A-Plast Ikarus BSE,F1,Nyíregyháza (HUN),2024.2.18
8.25,0.0,-,30,Gálpál Zsombor,3,BHSE,H1,Budapest (HUN),2024.1.28
8.25,0.0,-,30,Polyák Zoltán,3,A-Plast Ikarus BSE,H2,Budapest (HUN),2024.2.03
8.27,0.0,-,32,Polyák Zoltán,3,A-Plast Ikarus BSE,F1,Budapest (HUN),2024.1.28
8.27,0.0,-,32,Polyák Zoltán,3,A-Plast Ikarus BSE,F1,Budapest (HUN),2024.2.03
8.28,0.0,8,34,Zemen Zalán,7,Győri Atlétikai Club,F1,Budapest (HUN),2024.2.03
8.28,0.0,-,34,Eszes Dániel,99,VSD,F,Beograd (SRB),2024.2.13
8.31,0.0,-,36,Zemen Zalán,7,Győri Atlétikai Club,F1,Nyíregyháza (HUN),2024.2.18
8.32,0.0,-,37,Zemen Zalán,7,Győri Atlétikai Club,H1,Budapest (HUN),2024.2.03
8.41,0.0,-,38,Zemen Zalán,7,Győri Atlétikai Club,H1,Nyíregyháza (HUN),2024.2.18
8.51,0.0,9,39,Pesti Máté,4,Csepel TC,F1,Nyíregyháza (HUN),2024.2.18
8.53,0.0,-,40,Pesti Máté,4,Csepel TC,H1,Nyíregyháza (HUN),2024.2.18
8.57,0.0,-,41,Pesti Máté,4,Csepel TC,F1,Budapest (HUN),2024.1.28
8.65,0.0,-,42,Pesti Máté,4,Csepel TC,H1,Budapest (HUN),2024.1.28
8.67,0.0,-,43,Pesti Máté,4,Csepel TC,H2,Budapest (HUN),2024.2.03
8.78,0.0,10,44,Orosz Balázs,5,DVTK,F1,Nyíregyháza (HUN),2024.2.18
8.79,0.0,-,45,Orosz Balázs,5,DVTK,H1,Budapest (HUN),2024.2.03
8.83,0.0,-,46,Orosz Balázs,5,DVTK,H2,Nyíregyháza (HUN),2024.2.18
8.9,0.0,-,47,Orosz Balázs,5,DVTK,F1,Nyíregyháza (HUN),2024.1.27
8.91,0.0,-,48,Auer Péter,6,A-Plast Ikarus BSE,F1,Nyíregyháza (HUN),2024.2.18
8.95,0.0,11,49,Tóth Zsombor,98,MATE - GEAC,CE1,Budapest (HUN),2024.2.11
8.96,0.0,12,50,Tari Tibor,4,TFSE,CE1,Budapest (HUN),2024.2.11
8.99,0.0,13,51,Gábris Dávid,99,KSI SE,CE1,Budapest (HUN),2024.2.11
9.06,0.0,-,52,Tóth Zsombor,98,MATE - GEAC,H2,Budapest (HUN),2024.1.28
9.06,0.0,-,52,Gábris Dávid,99,KSI SE,H2,Budapest (HUN),2024.2.03
9.08,0.0,-,54,Tóth Zsombor,98,MATE - GEAC,F1,Budapest (HUN),2024.1.28
9.1,0.0,-,55,Orosz Balázs,5,DVTK,H1,Nyíregyháza (HUN),2024.1.27
11.29,0.0,14,56,Kútsági Bálint,80,MAFC,CE1,Budapest (HUN),2024.2.11
